temperature,humidity,wind_speed,rainfall,visibility
26.6,24,13.3,0.0,10.0
19.0,94,11.2,0.1,10.0
23.0,29,15.1,0.0,10.0
6.3,61,11.9,0.3,2.0
26.0,89,13.0,0.0,10.0
26.0,84,9.0,0.02,10.0
8.0,93,3.6,0.0,10.0
19.0,40,6.8,0.13,10.0
9.0,87,4.0,0.0,10.0
16.0,63,20.2,0.0,10.0
17.0,68,6.8,0.0,10.0
27.0,89,25.9,0.0,10.0
36.0,33,22.0,0.0,10.0
38.4,31,6.8,0.0,10.0
28.0,74,25.9,0.0,10.0
17.0,29,19.1,0.0,10.0
15.0,94,6.1,0.25,10.0
26.0,89,6.8,0.0,10.0
28.0,79,24.1,0.02,10.0
18.2,50,11.5,0.16,10.0
12.3,77,3.6,0.0,10.0
19.0,64,3.6,0.0,10.0
22.0,43,6.8,0.0,10.0
23.1,98,4.0,0.04,0.0
32.0,84,11.2,0.0,10.0
12.0,77,20.2,0.0,10.0
32.0,67,11.2,0.0,10.0
21.1,66,3.6,0.02,10.0
27.4,44,16.2,0.0,10.0
22.0,69,15.1,0.0,10.0
38.0,45,11.2,0.0,10.0
25.0,78,3.6,0.0,10.0
12.0,71,15.1,0.0,24.0
28.4,60,7.6,0.0,10.0
37.2,27,14.4,0.0,10.0
1.0,93,6.8,0.0,7.0
29.0,22,15.1,0.0,10.0
15.9,62,14.0,0.0,10.0
27.5,73,23.4,0.1,10.0
29.6,66,4.3,0.0,10.0
21.0,100,3.6,0.17,7.0
16.0,82,15.1,0.0,10.0
26.0,84,6.8,0.0,9.0
25.0,39,9.0,0.0,10.0
18.0,49,31.0,0.0,10.0
29.4,67,4.0,0.0,10.0
16.0,55,31.0,0.0,10.0
31.8,68,13.0,0.0,10.0
27.2,78,12.6,0.03,10.0
23.0,94,13.0,0.0,10.0
11.9,92,4.3,0.03,10.0
27.0,32,15.1,0.0,10.0
26.0,94,3.6,0.3,10.0
30.0,89,6.1,0.2,10.0
22.6,42,4.7,0.15,10.0
19.0,43,22.0,0.0,10.0
22.2,39,6.1,0.0,10.0
22.3,48,10.8,0.05,10.0
26.0,89,15.1,0.0,10.0
22.0,33,24.1,0.0,10.0
15.0,72,16.9,0.01,10.0
29.0,75,15.1,0.0,10.0
23.0,83,16.9,0.0,10.0
16.0,68,9.0,0.02,10.0
22.0,38,33.1,0.0,10.0
29.0,84,9.0,0.0,10.0
23.0,38,3.6,0.0,10.0
28.0,79,22.0,0.06,10.0
20.0,88,22.0,0.09,5.0
26.0,94,3.6,0.01,10.0
24.0,89,6.1,0.0,8.0
24.0,100,3.6,0.08,8.0
21.0,88,4.0,0.0,10.0
24.0,57,3.6,0.0,10.0
23.0,78,6.1,0.28,10.0
20.0,43,29.9,0.0,10.0
7.0,93,15.1,0.29,10.0
42.0,13,11.2,0.0,4.0
32.0,63,24.1,0.02,8.0
24.0,25,19.1,0.0,10.0
33.0,17,22.0,0.0,10.0
14.0,94,6.8,0.0,5.0
25.0,54,13.0,0.0,10.0
24.0,57,3.6,0.0,10.0
21.9,84,3.6,0.1,10.0
24.0,47,33.1,0.0,10.0
23.0,29,15.1,0.0,5.0
16.0,34,22.0,0.0,10.0
23.0,61,3.6,0.06,10.0
28.8,75,19.8,0.0,10.0
30.4,44,28.1,0.0,13.0
22.5,59,13.0,0.05,10.0
28.0,74,9.0,0.03,10.0
17.0,48,9.0,0.0,10.0
22.0,65,9.0,0.0,10.0
18.0,52,3.6,0.0,10.0
26.0,94,3.6,0.0,10.0
33.0,63,11.2,0.0,10.0
15.0,72,9.0,0.0,10.0
17.0,39,13.0,0.0,10.0
14.0,88,16.9,0.31,10.0
22.0,53,25.9,0.0,10.0
21.0,64,13.0,0.0,10.0
29.0,84,11.2,1.86,10.0
29.5,76,21.6,0.04,10.0
27.0,74,6.8,0.0,10.0
28.0,45,15.1,0.0,10.0
29.0,79,11.2,0.27,24.0
19.5,79,17.6,0.0,10.0
24.0,83,25.9,0.14,8.0
20.8,47,10.8,0.0,10.0
27.0,89,3.6,0.7,24.0
15.9,34,23.4,0.0,9.0
16.0,82,20.2,0.37,10.0
27.0,17,22.0,0.0,10.0
16.0,88,3.6,0.34,10.0
18.0,60,9.0,0.0,6.0
24.0,65,9.0,0.0,10.0
37.5,36,24.1,0.0,10.0
20.0,40,11.2,0.0,10.0
18.0,56,3.6,0.0,10.0
29.0,48,19.1,0.0,8.0
16.0,94,6.8,0.71,7.0
13.0,77,37.1,0.01,10.0
27.2,80,5.8,0.01,10.0
33.0,36,20.2,0.0,10.0
29.2,67,7.2,0.0,10.0
19.0,27,18.4,0.0,10.0
13.0,88,3.6,0.1,9.0
18.0,49,13.0,0.0,10.0
33.0,56,19.1,0.0,10.0
38.2,15,11.9,0.0,10.0
31.0,75,11.2,0.01,23.0
17.4,83,3.6,0.0,10.0
26.0,94,3.6,0.06,10.0
26.2,90,15.8,1.79,10.0
14.1,79,11.2,0.0,10.0
16.6,89,11.9,0.0,10.0
35.0,56,3.6,0.0,10.0
18.0,34,31.0,0.0,10.0
16.0,77,11.2,0.01,10.0
37.0,37,19.1,0.0,10.0
18.0,26,19.1,0.0,10.0
18.0,42,19.1,0.0,10.0
25.0,61,9.0,0.79,10.0
27.0,79,13.0,0.0,10.0
28.0,84,20.2,0.06,10.0
28.0,84,20.2,0.01,10.0
26.0,94,6.1,0.79,10.0
18.0,88,3.6,0.6,10.0
14.0,94,13.0,0.03,4.0
39.0,7,15.1,0.0,10.0
22.0,78,11.2,0.0,10.0
19.0,56,41.0,0.0,10.0
27.0,89,20.2,0.35,10.0
27.4,79,3.6,0.0,10.0
26.0,89,4.0,1.75,10.0
17.0,55,25.9,0.0,10.0
16.0,82,16.9,0.06,10.0
26.9,87,15.8,0.09,10.0
30.0,89,22.0,0.0,10.0
20.0,35,6.1,0.0,10.0
19.0,35,15.1,0.0,10.0
30.3,10,33.1,0.0,10.0
14.0,47,19.1,0.0,10.0
26.0,94,6.1,1.01,9.0
32.5,10,25.2,0.0,10.0
24.4,96,7.6,0.0,2.0
20.0,40,11.2,0.0,10.0
14.0,82,3.6,0.13,10.0
24.0,31,3.6,0.0,10.0
29.0,37,3.6,0.05,6.0
25.0,57,19.1,0.0,10.0
31.0,75,15.1,0.11,10.0
28.0,77,14.4,0.03,10.0
19.0,43,29.9,0.0,10.0
23.0,100,33.1,2.09,6.0
26.0,89,3.6,0.03,10.0
24.0,57,19.1,0.0,10.0
16.0,45,13.0,0.02,10.0
23.0,69,6.8,0.02,10.0
26.0,100,20.2,2.0,8.0
25.7,60,3.6,0.02,10.0
13.8,53,13.0,0.25,9.0
39.0,19,11.2,0.0,10.0
14.0,88,4.0,0.2,10.0
16.1,58,6.8,0.0,16.0
6.0,87,9.0,0.0,10.0
22.0,73,15.1,0.01,10.0
25.0,83,13.0,0.02,10.0
26.0,84,3.6,0.05,10.0
30.0,62,6.8,0.03,10.0
25.7,27,12.6,0.01,10.0
21.8,46,14.4,0.0,10.0
20.2,37,9.7,0.0,10.0
22.0,41,7.2,0.03,10.0
29.0,45,6.8,0.0,10.0
25.0,39,28.1,0.0,10.0
6.3,76,10.1,0.22,10.0
32.0,63,25.9,0.0,10.0
29.0,75,15.1,0.02,10.0
11.0,76,11.2,0.0,10.0
15.0,77,4.0,0.2,10.0
5.0,100,3.6,0.0,10.0
17.0,72,25.9,0.0,10.0
17.0,59,19.1,0.0,10.0
29.0,79,25.9,0.0,10.0
36.0,42,16.9,0.0,10.0
34.2,41,12.6,0.0,10.0
30.0,75,31.0,0.02,10.0
17.0,34,6.8,0.0,10.0
17.0,77,19.1,0.04,10.0
30.0,79,13.0,0.0,9.0
24.0,89,28.1,0.05,8.0
10.5,90,5.8,0.17,9.0
18.8,37,5.0,0.0,10.0
20.0,83,3.6,0.02,10.0
29.0,19,11.2,0.0,10.0
31.4,61,6.5,0.0,10.0
27.0,100,11.2,3.01,7.0
11.0,82,31.0,0.15,9.0
24.0,94,16.9,0.23,10.0
31.0,55,33.1,0.34,10.0
27.8,48,18.4,0.0,10.0
26.0,58,31.0,0.0,10.0
30.0,75,15.1,0.0,10.0
32.0,56,6.8,0.22,8.0
16.0,63,11.2,0.0,24.0
35.0,53,3.6,0.0,10.0
42.0,25,11.2,0.0,8.0
2.0,87,6.8,0.0,6.0
23.0,47,6.8,0.0,10.0
19.4,61,19.8,0.0,10.0
25.8,79,28.1,0.04,10.0
32.0,56,25.9,0.0,8.0
23.0,89,9.0,0.02,10.0
20.0,68,15.1,0.68,10.0
29.0,75,16.9,0.0,9.0
26.0,54,25.9,0.0,10.0
19.0,49,41.0,0.02,10.0
32.0,56,25.9,0.0,8.0
18.0,42,34.9,0.0,10.0
